Restaurant,Ratings,Cusine,Price_For_1,Links,Distance,Offers
Sharief Bhai,4.1,"Biryani, Kebab, Mughlai, Arabian, South Indian, Rolls, Desserts, Beverages",550.0,https://www.zomato.com/bangalore/sharief-bhai-frazer-town-bangalore/info,3.5 km,15% OFF
Jamie Oliver Kitchen,4.3,"Italian, Pizza, Beverages",750.0,https://www.zomato.com/bangalore/jamie-oliver-kitchen-indiranagar-bangalore/info,4.9 km,10% OFF
Sattvam,4.2,"Chinese, Continental",980.0,https://www.zomato.com/bangalore/sattvam-jp-nagar-bangalore/info,7.3 km,-
Spettacolare,4.0,"Italian, Pizza, Pasta",500.0,https://www.zomato.com/bangalore/spettacolare-indiranagar-bangalore/info,4.7 km,-
Chin Lung Resto Bar,4.0,"Bar Food, Chinese, North Indian",700.0,https://www.zomato.com/bangalore/chin-lung-resto-bar-residency-road-bangalore/info,1.4 km,-
Karigari By Chef Harpal Singh Sokhi,4.4,"North Indian, Kebab, Beverages, Seafood, Desserts",600.0,https://www.zomato.com/bangalore/karigari-by-chef-harpal-singh-sokhi-sahakara-nagar-bangalore/info,11.1 km,-
Vapour Pub & Brewery,4.1,"North Indian, Continental, Oriental, Chinese, Pizza, Fast Food, Desserts, Beverages",1250.0,https://www.zomato.com/bangalore/vapour-pub-brewery-indiranagar-bangalore/info,5.1 km,15% OFF
Chapter One Bar | Maiin,4.3,"North Indian, South Indian, Chinese, Italian, Fast Food, Finger Food, Desserts, Beverages",700.0,https://www.zomato.com/bangalore/chapter-one-bar-maiin-new-bel-road-bangalore/info,7.3 km,10% OFF
Chavadi,4.3,"North Indian, South Indian, Seafood, Desserts, Beverages",850.0,https://www.zomato.com/bangalore/chavadi-bannerghatta-road/info,8.9 km,-
Just BLR Arena,4.4,"Continental, North Indian, Italian, Beverages",900.0,https://www.zomato.com/bangalore/just-blr-arena-1-brigade-road-bangalore/info,1.4 km,10% OFF
Beijing Bites,3.7,"Chinese, Seafood, Thai, Rolls, Momos, Malaysian",500.0,https://www.zomato.com/bangalore/beijing-bites-sarjapur-road/info,10.1 km,15% OFF
Kebapci,4.2,"BBQ, Turkish, Kebab, Lebanese, Desserts",800.0,https://www.zomato.com/bangalore/kebapci-koramangala-6th-block-bangalore/info,5 km,-
Flyover Drinkery,4.4,"Thai, Continental, Oriental, Italian, Mangalorean, North Indian, South Indian, Desserts",750.0,https://www.zomato.com/bangalore/flyover-drinkery-hebbal-bangalore/info,8.6 km,-
Brik Oven,4.4,"Pizza, Italian, Beverages, Desserts, Shake",600.0,https://www.zomato.com/bangalore/brik-oven-whitefield-bangalore/info,14.2 km,10% OFF
Sstella Kitchen And Bar,4.5,"Asian, Chinese, Desserts, Beverages, Afghan",500.0,https://www.zomato.com/bangalore/sstella-kitchen-and-bar-bannerghatta-road-bangalore/info,10.6 km,15% OFF
Boteco Restaurante Brasileiro,4.3,"Brazilian, Steak, Salad, Finger Food, Desserts, Coffee, Beverages",1750.0,https://www.zomato.com/bangalore/boteco-restaurante-brasileiro-1-mg-road-bangalore/info,1.7 km,-
Sector 144,4.4,"North Indian, Chinese, Kebab, Mughlai, Italian, Fast Food, Desserts, Bar Food",550.0,https://www.zomato.com/bangalore/sector-144-electronic-city-bangalore/info,15.4 km,-
Sugar Factory Reloaded,3.9,"North Indian, Continental, Italian, Chinese, Asian, American",900.0,https://www.zomato.com/bangalore/sugar-factory-reloaded-koramangala-5th-block-bangalore/info,4.7 km,10% OFF
Maya,4.4,"Asian, North Indian, Chinese, Thai, Beverages",900.0,https://www.zomato.com/bangalore/maya-1-jayanagar-bangalore/info,5.6 km,10% OFF
Dishkeyaun,4.1,"Modern Indian, Biryani, Desserts",1000.0,https://www.zomato.com/bangalore/dishkeyaun-1-brigade-road-bangalore/info,1.4 km,-
Sanadige - Goldfinch Hotel,4.2,"Seafood, Mangalorean, Goan, South Indian, North Indian, Chinese, Desserts, Beverages",900.0,https://www.zomato.com/bangalore/sanadige-goldfinch-hotel-seshadripuram/info,2.2 km,15% OFF
The Fixx,4.1,"North Indian, Continental, Chinese, Seafood, Pasta, Pizza, Biryani, Beverages",900.0,https://www.zomato.com/bangalore/the-fixx-1-koramangala-4th-block-bangalore/info,5.9 km,15% OFF
Barkaas- Arabic Restaurant,4.0,"Arabian, North Indian, Mughlai, Shawarma, Fast Food, Mandi, Desserts, Beverages",650.0,https://www.zomato.com/bangalore/barkaas-arabic-restaurant-marathahalli-bangalore/info,11.6 km,10% OFF
Caffé Allora,4.5,"Pizza, Italian, Pasta",750.0,https://www.zomato.com/bangalore/caff%C3%A9-allora-hebbal-bangalore/info,11.1 km,10% OFF
California Burrito,4.3,"Mexican, American, Continental, Healthy Food, Beverages, Fast Food",225.0,https://www.zomato.com/bangalore/california-burrito-bannerghatta-road/info,9 km,10% OFF
Cafe G - Holiday Inn,3.8,"North Indian, Italian, Continental, Chinese, Asian, Desserts",1300.0,https://www.zomato.com/bangalore/cafe-g-holiday-inn-race-course-road-bangalore/info,2 km,40% OFF
46 Ounces Brewgarden,4.2,"Finger Food, Asian, Chinese, Pizza, North Indian, Fast Food",950.0,https://www.zomato.com/bangalore/46-ounces-brewgarden-electronic-city-bangalore/info,15.2 km,-
Niro,4.5,"Continental, North Indian, Beverages, Asian, Bar Food",1250.0,https://www.zomato.com/bangalore/niro-nagawara-bangalore/info,8.1 km,-
Drunken Daddy,4.3,"North Indian, Continental, Fast Food, Oriental, Finger Food, Biryani, Beverages",700.0,https://www.zomato.com/bangalore/drunken-daddy-koramangala-5th-block-bangalore/info,4.8 km,-
SLAY Coffee Bar,4.5,"Cafe, Coffee, Beverages, Fast Food, Sandwich, Burger",300.0,https://www.zomato.com/bangalore/slay-coffee-bar-hsr-bangalore/info,9.1 km,10% OFF
SARKI LOUNGE,New,"North Indian, Asian, Continental, Chinese, Sushi, Italian",750.0,https://www.zomato.com/bangalore/sarki-lounge-bommanahalli-bangalore/info,10.4 km,10% OFF
Minsk Restobar,4.1,"North Indian, Asian, Continental, Chinese, South Indian, Bar Food, European",700.0,https://www.zomato.com/bangalore/minsk-restobar-btm-bangalore/info,6.2 km,15% OFF
NH8,4.1,"North Indian, Rajasthani",600.0,https://www.zomato.com/bangalore/nh8-indiranagar/info,5.7 km,-
Botanica,4.0,"North Indian, Oriental",750.0,https://www.zomato.com/bangalore/botanica-kanakapura-road-bangalore/info,12.8 km,-
Foxtrot,4.2,"North Indian, Mughlai, Biryani, Desserts, Beverages",950.0,https://www.zomato.com/bangalore/foxtrot-marathahalli-bangalore/info,11.6 km,10% OFF
Mohr - The Modern Indian Kitchen,New,"North Indian, Bar Food",500.0,https://www.zomato.com/bangalore/mohr-the-modern-indian-kitchen-jp-nagar-bangalore/info,7.2 km,-
Soka,4.4,"Bar Food, Continental",500.0,https://www.zomato.com/bangalore/soka-indiranagar-bangalore/info,4.8 km,-
Skyye,4.3,"Continental, Asian, Thai, Seafood, Italian, Beverages, Desserts",1100.0,https://www.zomato.com/bangalore/skyye-lavelle-road/info,193 m,-
Hoy Punjab Restaurant,4.3,"North Indian, Mughlai, Chinese, Street Food, Oriental, Beverages",900.0,https://www.zomato.com/bangalore/hoy-punjab-restaurant-whitefield-bangalore/info,17.6 km,15% OFF
Samosa Party,4.1,"Street Food, Tea, North Indian, Beverages, Mithai, Desserts",100.0,https://www.zomato.com/bangalore/samosa-party-1-indiranagar-bangalore/info,4.8 km,10% OFF
Travellers Bungalow,4.3,"Middle Eastern, European, Pizza, Finger Food, Desserts, Beverages",700.0,https://www.zomato.com/bangalore/travellers-bungalow-1-indiranagar-bangalore/info,5.6 km,-
Blurred,4.1,"North Indian, South Indian, Continental, Chinese",500.0,https://www.zomato.com/bangalore/blurred-koramangala-5th-block-bangalore/info,4.8 km,10% OFF
Smoor,4.3,"Cake, Desserts, Bakery, Cafe, Beverages, Ice Cream, Asian, Pasta",350.0,https://www.zomato.com/bangalore/smoor-lavelle-road-bangalore/info,653 m,10% OFF
The Grill House - Steaks & Sizzlers,4.2,"American, Mexican, Italian, Steak, Seafood",700.0,https://www.zomato.com/bangalore/the-grill-house-steaks-sizzlers-ulsoor-bangalore/info,2.8 km,-
Hungry Hippie,4.2,"North Indian, Italian, Continental, Mexican, Pizza, Fast Food, Desserts, Beverages",600.0,https://www.zomato.com/bangalore/hungry-hippie-koramangala-5th-block/info,4.7 km,10% OFF
Jamie Oliver Kitchen Cafe,3.7,"Healthy Food, Coffee, Salad, Sandwich, Tea, Continental",500.0,https://www.zomato.com/bangalore/jamie-oliver-kitchen-cafe-bellandur-bangalore/info,10.3 km,10% OFF
The Irish House,4.3,"European, Mediterranean, Mexican, BBQ, Burger, Pizza, Desserts, Beverages",1000.0,https://www.zomato.com/bangalore/the-irish-house-yelahanka-bangalore/info,13.6 km,-
Santé Spa Cuisine,4.9,"Pizza, North Indian, Continental, Pasta, Asian, Cafe, Beverages, Desserts",900.0,https://www.zomato.com/bangalore/sant%C3%A9-spa-cuisine-domlur-bangalore/info,4.9 km,-
Carnival de Goa,4.3,"Goan, Chinese, Continental, Seafood, Pizza, Desserts, Beverages",600.0,https://www.zomato.com/bangalore/carnival-de-goa-ulsoor/info,2.8 km,10% OFF
Smoky Docky,3.9,"Shawarma, Desserts, Beverages",175.0,https://www.zomato.com/bangalore/smoky-docky-1-koramangala-5th-block-bangalore/info,4.8 km,10% OFF
Noodle Bar,3.8,"Asian, Oriental, Chinese, Thai, Desserts, Beverages",850.0,https://www.zomato.com/bangalore/noodle-bar-whitefield/info,11.5 km,-
Barbeque Nation,4.3,"North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts",950.0,https://www.zomato.com/bangalore/barbeque-nation-electronic-city/info,15.5 km,-
Spice It - Ibis Bengaluru,4.0,"North Indian, Continental, Italian, Asian, Desserts, Beverages",1250.0,https://www.zomato.com/bangalore/spice-it-ibis-bengaluru-bellandur-bangalore/info,10.7 km,20% OFF
Plan B,4.3,"American, Continental, Burger, Pizza",500.0,https://www.zomato.com/bangalore/plan-b-anekal-bangalore/info,18.7 km,15% OFF
Tipsy London,3.9,"Bar Food, Continental, South Indian, North Indian, Middle Eastern, Italian, Chinese, Desserts",600.0,https://www.zomato.com/bangalore/tipsy-london-electronic-city-bangalore/info,15.3 km,20% OFF
Grazers Resto - Bar,4.2,"North Indian, Salad, Continental, Burger, Pizza, Fast Food, Asian, Bar Food",600.0,https://www.zomato.com/bangalore/grazers-resto-bar-jayanagar-bangalore/info,4.4 km,15% OFF
Delhi Highway,4.1,"North Indian, Chinese, Street Food, Kebab, Desserts, Beverages",900.0,https://www.zomato.com/bangalore/delhi-highway-indiranagar/info,4.9 km,-
Iza,4.5,"Asian, Chinese, Seafood, Salad, Desserts",600.0,https://www.zomato.com/bangalore/iza-marathahalli-bangalore/info,10.7 km,10% OFF
Mahe Global Kitchen,4.4,"North Indian, Continental, Asian, Pizza, Chinese, Desserts, Shake, Beverages",700.0,https://www.zomato.com/bangalore/mahe-global-kitchen-koramangala-5th-block-bangalore/info,5.2 km,10% OFF
The Creek - The Den Bengaluru,4.1,"North Indian, South Indian, Asian, Pizza, Desserts",1500.0,https://www.zomato.com/bangalore/the-creek-the-den-bengaluru-whitefield/info,15.2 km,10% OFF
RRoyal Rajasthan,3.6,"Rajasthani, North Indian, Beverages",425.0,https://www.zomato.com/bangalore/rroyal-rajasthan-sarjapur-road/info,11.6 km,10% OFF
Hopshaus,4.1,"North Indian, Oriental, Continental, Burger, Desserts",450.0,https://www.zomato.com/bangalore/hopshaus-whitefield-bangalore/info,16.8 km,15% OFF
Pincode 24 Bar & Bistro,4.4,"Bar Food, Continental",500.0,https://www.zomato.com/bangalore/pincode-24-bar-bistro-hebbal-bangalore/info,8.1 km,10% OFF
Rural Blues,4.2,"Asian, Bar Food, North Indian, Continental, Italian, Desserts, Biryani, Beverages",750.0,https://www.zomato.com/bangalore/rural-blues-sarjapur-road/info,15.6 km,10% OFF
Iris Cafe & Kitchen,4.1,"Cafe, Coffee, Chinese, Continental, Modern Indian, Pasta, Fast Food, Desserts",600.0,https://www.zomato.com/bangalore/iris-cafe-kitchen-1-jp-nagar-bangalore/info,7.4 km,-
Gufha - The President Hotel,4.1,"North Indian, Mughlai, Biryani, Beverages",700.0,https://www.zomato.com/bangalore/gufha-the-president-hotel-jayanagar/info,4.4 km,10% OFF
Mangroove Taproom and Kitchen,4.4,"Chinese, Asian",1250.0,https://www.zomato.com/bangalore/mangroove-taproom-and-kitchen-electronic-city-bangalore/info,13.9 km,10% OFF
Cafe Azzure,3.5,"Cafe, Continental, Mexican, Italian, Fast Food, Desserts, Beverages",700.0,https://www.zomato.com/bangalore/cafe-azzure-hsr-bangalore/info,8.7 km,15% OFF
Kake Di Hatti,4.1,"North Indian, Chinese, Beverages",900.0,https://www.zomato.com/bangalore/kake-di-hatti-electronic-city-bangalore/info,15.4 km,-
Kava - Fairfield By Marriott,New,"North Indian, Mughlai, Seafood, Desserts",1400.0,https://www.zomato.com/bangalore/kava-fairfield-by-marriott-bellandur-bangalore/info,10.7 km,25% OFF
1882 - DoubleTree by Hilton Whitefield,4.1,"Continental, Asian, North Indian, Modern Indian",1000.0,https://www.zomato.com/bangalore/1882-doubletree-by-hilton-whitefield-brookefield-bangalore/info,13.3 km,20% OFF
Parika Multicuisine & Coastal Fine Dine,4.3,"Mangalorean, Seafood, North Indian, Asian, Chinese, South Indian, Desserts, Beverages",650.0,https://www.zomato.com/bangalore/parika-multicuisine-coastal-fine-dine-hsr/info,8.2 km,10% OFF
Lavonne,4.4,"Cafe, Tea, Beverages, Bakery, Continental, Pasta, Salad, Fast Food",650.0,https://www.zomato.com/bangalore/lavonne-indiranagar/info,4.6 km,-
Pinxx - Royal Orchid Central,4.0,"Continental, North Indian, Chinese, Sandwich, Fast Food, Desserts, Beverages",950.0,https://www.zomato.com/bangalore/pinxx-royal-orchid-central-mg-road-bangalore/info,2.3 km,25% OFF
Shiro,4.3,"Japanese, Sushi, Asian, Desserts, Thai, Korean, Cantonese, Vietnamese",1750.0,https://www.zomato.com/bangalore/shiro-lavelle-road/info,229 m,-
EasyBites By Empire,-,"Burger, Fast Food",225.0,https://www.zomato.com/bangalore/easybites-by-empire-kammanahalli-bangalore/info,6.6 km,-
Altitude Kitchen & Bar,4.2,"Chinese, Seafood, North Indian, Kebab, Pizza, Finger Food, Biryani, Desserts",900.0,https://www.zomato.com/bangalore/altitude-kitchen-bar-basaveshwara-nagar-bangalore/info,6.4 km,10% OFF
Pind Balluchi,3.9,"North Indian, Mughlai, Fast Food, Biryani, Desserts",475.0,https://www.zomato.com/bangalore/pind-balluchi-varthur-main-road-whitefield-bangalore/info,16.6 km,15% OFF
IGNYT -The Beer Station,4.2,Continental,1000.0,https://www.zomato.com/bangalore/ignyt-the-beer-station-kumaraswamy-layout-bangalore/info,7.8 km,50% OFF
The Lotus Oriental - The Leela Bhartiya City,4.3,"Thai, Oriental, Japanese, Asian, Desserts, Beverages",1500.0,https://www.zomato.com/bangalore/the-lotus-oriental-the-leela-bhartiya-city-jakkur-bangalore/info,13.6 km,15% OFF
Daya's Kitchen,3.8,"Biryani, Chinese, Kebab",200.0,https://www.zomato.com/bangalore/dayas-kitchen-bommanahalli-bangalore/info,9.7 km,20% OFF
Poco A Poco - Global Food & Music,4.3,"Steak, Continental, North Indian, Oriental, American, Italian, Beverages",500.0,https://www.zomato.com/bangalore/poco-a-poco-global-food-music-whitefield-bangalore/info,17 km,10% OFF
Mainland China,4.4,"Chinese, Sushi, Seafood, Asian, Japanese, Beverages",1000.0,https://www.zomato.com/bangalore/mainland-china-1-church-street-bangalore/info,1.1 km,15% OFF
Kazé,New,"Japanese, Sushi, Thai, Asian",1750.0,https://www.zomato.com/bangalore/kaz%C3%A9-1-lavelle-road-bangalore/info,702 m,-
Mahesh Lunch Home,4.2,"Seafood, Mangalorean, South Indian, North Indian, Continental, Desserts, Beverages",850.0,https://www.zomato.com/bangalore/mahesh-lunch-home-1-indiranagar-bangalore/info,5.2 km,-
Plaka By Chef Ajay Chopra,4.1,"Italian, North Indian, Mediterranean, Pizza, Continental, Asian, Coffee",900.0,https://www.zomato.com/bangalore/plaka-by-chef-ajay-chopra-sahakara-nagar-bangalore/info,11.1 km,-
Auntie Fung's,4.0,"Asian, Chinese, Thai, Korean, Burmese, Indonesian, Cantonese, Vietnamese",300.0,https://www.zomato.com/bangalore/auntie-fungs-new-bel-road/info,6.9 km,10% OFF
Thyme and Whisk,4.3,"Continental, North Indian, Asian, Italian, Healthy Food, Fast Food, Desserts, Beverages",850.0,https://www.zomato.com/bangalore/thyme-and-whisk-sarjapur-road-bangalore/info,10.5 km,-
Brassa,4.4,"Mexican, Japanese, Mediterranean, Italian, Lebanese, Tea, Coffee, Desserts",900.0,https://www.zomato.com/bangalore/brassa-st-marks-road-bangalore/info,691 m,-
Dofu,3.9,"Chinese, Korean, Japanese, Asian, Desserts, Beverages",700.0,https://www.zomato.com/bangalore/dofu-indiranagar-bangalore/info,5.1 km,-
The Local,4.4,"Pizza, Continental, Burger, Seafood, Kerala, Finger Food, Beverages",800.0,https://www.zomato.com/bangalore/the-local-kalyan-nagar-bangalore/info,7.5 km,15% OFF
Saarai,4.4,"Andhra, Asian",750.0,https://www.zomato.com/bangalore/saarai-jayanagar-bangalore/info,5.8 km,-
Ebony,4.2,"North Indian, Biryani, South Indian, Thai, Seafood, Desserts, Beverages",950.0,https://www.zomato.com/bangalore/ebony-mg-road/info,1.3 km,-
Gustoes,4.4,"Italian, Seafood, Chinese, Asian, North Indian, BBQ, Desserts, Beverages",900.0,https://www.zomato.com/bangalore/gustoes-jayanagar-bangalore/info,5.8 km,-
Cuppa Redefined,4.3,"Cafe, American, Burger, Healthy Food, Salad, Fast Food, Desserts, Beverages",350.0,https://www.zomato.com/bangalore/cuppa-redefined-hsr-bangalore/info,7.8 km,10% OFF
Ithaca - The Chancery Pavilion,3.9,"North Indian, Chinese, South Indian, Asian, Pasta, Street Food, Fast Food, Desserts",1250.0,https://www.zomato.com/bangalore/ithaca-the-chancery-pavilion-residency-road/info,802 m,15% OFF
The Rasoiya Street,4.2,"North Indian, Continental, Asian, Chinese, Desserts, Beverages",550.0,https://www.zomato.com/bangalore/the-rasoiya-street-1-jp-nagar-bangalore/info,7.4 km,10% OFF
1947,4.2,"North Indian, Chinese, Desserts, Beverages",500.0,https://www.zomato.com/bangalore/1947-hennur-bangalore/info,12.5 km,10% OFF
Nagarjuna - Since 1984,3.9,"Andhra, Biryani, South Indian",475.0,https://www.zomato.com/bangalore/nagarjuna-since-1984-marathahalli-bangalore/info,11.6 km,-
Bathinda Junction,3.9,"North Indian, Kebab, Street Food, Desserts, Beverages",475.0,https://www.zomato.com/bangalore/bathinda-junction-hsr/info,8 km,-
Azukii Bistro,4.8,"Japanese, Asian, Rolls, Sushi, Salad, Tea, Beverages",900.0,https://www.zomato.com/bangalore/azukii-bistro-richmond-town-bangalore/info,1.6 km,-
The Pizza Bakery,4.1,"Pizza, Pasta, Continental, Italian, Salad, Desserts, Beverages",750.0,https://www.zomato.com/bangalore/the-pizza-bakery-church-street-bangalore/info,1.2 km,-
Cafe Muziris,4.2,"Cafe, Coffee, Beverages, Continental, Sandwich, Fast Food, Healthy Food, Ice Cream",500.0,https://www.zomato.com/bangalore/cafe-muziris-1-indiranagar-bangalore/info,5 km,15% OFF
Kuuraku,4.6,"Japanese, Rolls, Beverages",750.0,https://www.zomato.com/bangalore/kuuraku-brigade-road-bangalore/info,1.4 km,-
Cosmo Dhaba,3.8,"North Indian, Biryani, Chinese, Sandwich, Burger, Pasta, Fast Food, Beverages",275.0,https://www.zomato.com/bangalore/cosmo-dhaba-hsr-bangalore/info,8.8 km,-
Kebabs & Kurries - ITC Gardenia,4.3,"North Indian, Kebab, Seafood",1500.0,https://www.zomato.com/bangalore/kebabs-kurries-itc-gardenia-residency-road-bangalore/info,516 m,-
The London Curry House - The Royale Senate Hotel,4.3,"Modern Indian, North Indian, Italian, Continental, Fast Food, Desserts, Beverages",1000.0,https://www.zomato.com/bangalore/the-london-curry-house-the-royale-senate-hotel-race-course-road-bangalore/info,2.2 km,10% OFF
Cafe Palmyra,4.3,"Chinese, North Indian, Continental, Oriental, Sichuan, South Indian, Desserts",1250.0,https://www.zomato.com/bangalore/cafe-palmyra-whitefield/info,15.8 km,10% OFF
Aroma's Hyderabad House,4.2,"Hyderabadi, Biryani, North Indian, Mughlai, Chinese, Seafood, Kebab, Beverages",475.0,https://www.zomato.com/bangalore/aromas-hyderabad-house-hsr-bangalore/info,8.5 km,10% OFF
Ouro,4.0,"European, Mexican, Desserts",1500.0,https://www.zomato.com/bangalore/ouro-brigade-road-bangalore/info,1.4 km,-
The Square - Novotel,4.0,"Continental, North Indian, Japanese, Italian",1600.0,https://www.zomato.com/bangalore/the-square-novotel-marathahalli/info,10.7 km,20% OFF
Itasian,4.5,"Italian, Asian, Chinese, Sushi, Burger, Fast Food, Desserts, Beverages",500.0,https://www.zomato.com/bangalore/itasian-jakkur-bangalore/info,11.7 km,10% OFF
Tandoori Taal,4.0,"North Indian, Finger Food, Biryani, Desserts, Beverages",550.0,https://www.zomato.com/bangalore/tandoori-taal-1-indiranagar/info,4.7 km,-
Nom Nom,4.3,"Asian, Chinese, Sushi, Desserts, Japanese, Thai",800.0,https://www.zomato.com/bangalore/nom-nom-bellandur-bangalore/info,11.4 km,10% OFF
Casa Fresco By Tea Brew,4.1,"American, Italian, Pasta, Steak, Chinese, Momos, Bubble Tea, Beverages",475.0,https://www.zomato.com/bangalore/casa-fresco-by-tea-brew-hsr-bangalore/info,8.3 km,-
The Drawing Room By Smoke House Deli,4.5,"Continental, Italian, Beverages",1500.0,https://www.zomato.com/bangalore/the-drawing-room-by-smoke-house-deli-indiranagar-bangalore/info,5.1 km,-
Suzy Q,4.3,"North Indian, Seafood, Continental, Asian, Chinese, Desserts, Beverages",1150.0,https://www.zomato.com/bangalore/suzy-q-cunningham-road-bangalore/info,1.4 km,-
Burger King,4.1,"Burger, Fast Food, Desserts, Beverages",200.0,https://www.zomato.com/bangalore/burger-king-3-rajajinagar-bangalore/info,6.2 km,-
Gufha,4.6,"North Indian, Chinese, Continental, Biryani, Kebab, Desserts",550.0,https://www.zomato.com/bangalore/gufha-1-sankey-road-bangalore/info,3 km,10% OFF
Glen`s Bakehouse,3.8,"Bakery, Cafe, Italian, Continental, Fast Food, Beverages, Desserts",400.0,https://www.zomato.com/bangalore/glen-s-bakehouse-whitefield-bangalore/info,16.8 km,-
Empire Restaurant,3.8,"North Indian, Biryani, Kebab, South Indian, Mughlai, Chinese, Seafood",475.0,https://www.zomato.com/bangalore/empire-restaurant-koramangala-5th-block/info,4.7 km,-
The Courtyard - Hotel Evoma,3.8,"Chinese, Continental, North Indian, South Indian, Desserts",600.0,https://www.zomato.com/bangalore/the-courtyard-hotel-evoma-kr-puram/info,14 km,10% OFF
Happy Place,4.3,"Beverages, American, Cafe, Continental, European, Pasta, Salad",150.0,https://www.zomato.com/bangalore/happy-place-new-bel-road-bangalore/info,7.9 km,10% OFF
Escape Bar & Kitchen,4.2,"North Indian, Chinese, Fast Food, Pizza, Pasta, Biryani, Kebab, Bar Food",500.0,https://www.zomato.com/bangalore/escape-bar-kitchen-kanakapura-road-bangalore/info,13.3 km,10% OFF
Hoy Punjab Restaurant,4.0,"North Indian, Beverages",150.0,https://www.zomato.com/bangalore/hoy-punjab-restaurant-banaswadi-bangalore/info,5.3 km,15% OFF
Mooch Marod,4.2,"North Indian, Beverages",300.0,https://www.zomato.com/bangalore/mooch-marod-koramangala-6th-block-bangalore/info,4.7 km,-
Swwing,4.1,"Seafood, Modern Indian, Salad, Asian, South Indian",1250.0,https://www.zomato.com/bangalore/swwing-indiranagar-bangalore/info,5 km,-
Adda 1522,New,"Fast Food, South Indian, Seafood, North Indian, Kebab, Mughlai, Asian, European",750.0,https://www.zomato.com/bangalore/adda-1522-ulsoor-bangalore/info,3.5 km,-
Paradise Biryani - A Legend Since 1953,4.1,"Biryani, Kebab, North Indian, Rolls, Chinese, Desserts",550.0,https://www.zomato.com/bangalore/paradise-biryani-a-legend-since-1953-marathahalli-bangalore/info,11.7 km,-
Xochi Bar And Kitchen,4.5,"Asian, North Indian, Continental",1250.0,https://www.zomato.com/bangalore/xochi-bar-and-kitchen-bellandur-bangalore/info,10.1 km,-
MYKA Cafe & Boutique,New,"Chinese, South Indian, Sandwich, Pizza, Burger, Salad, Desserts, Beverages",600.0,https://www.zomato.com/bangalore/myka-cafe-boutique-whitefield-bangalore/info,14.2 km,10% OFF
Cha Hong Kong Eating House,4.5,"Asian, Chinese",500.0,https://www.zomato.com/bangalore/cha-hong-kong-eating-house-hebbal-bangalore/info,11.1 km,15% OFF
Burgerama,3.7,"Burger, Beverages",250.0,https://www.zomato.com/bangalore/burgerama-electronic-city-bangalore/info,17.6 km,10% OFF
Nandhana Palace,4.2,"Andhra, Biryani, North Indian, Chinese, Desserts, Ice Cream, Beverages",700.0,https://www.zomato.com/bangalore/nandhana-palace-electronic-city-bangalore/info,15.5 km,-
Sathya's,4.1,"North Indian, Chinese, Beverages",700.0,https://www.zomato.com/bangalore/sathyas-koramangala-3rd-block/info,6.7 km,-
RNR Biryani - Taste Of 1953,4.2,"Biryani, South Indian, Kebab, Desserts, Beverages",350.0,https://www.zomato.com/bangalore/rnr-biryani-taste-of-1953-1-jayanagar-bangalore/info,4.9 km,-
Phobidden Fruit,4.4,"Vietnamese, Asian, Desserts",650.0,https://www.zomato.com/bangalore/phobidden-fruit-indiranagar/info,4.9 km,-
Happy Brew Bar & Kitchen,3.8,"Fast Food, European, Asian, Italian, North Indian",900.0,https://www.zomato.com/bangalore/happy-brew-bar-kitchen-koramangala-5th-block-bangalore/info,4.8 km,-
Asia Alive - DoubleTree Suites By Hilton,4.2,"North Indian, South Indian, Chinese, Thai, Italian, Burger, Sandwich, Beverages",1750.0,https://www.zomato.com/bangalore/asia-alive-doubletree-suites-by-hilton-sarjapur-road-bangalore/info,9.7 km,25% OFF
Go Fusion,New,"Pizza, Italian, Oriental, Chinese, Desserts",200.0,https://www.zomato.com/bangalore/go-fusion-kanakapura-road-bangalore/info,11.1 km,10% OFF
Techila,4.3,"North Indian, Burger, Biryani, Pizza, Chinese, Mexican, Fast Food, Rolls",600.0,https://www.zomato.com/bangalore/techila-nagawara-bangalore/info,10.3 km,10% OFF
KA 01- Ibis Hotel,4.2,"Finger Food, North Indian, Kebab, Street Food, Desserts",1000.0,https://www.zomato.com/bangalore/ka-01-ibis-hotel-lavelle-road-bangalore/info,511 m,40% OFF
Oota Bangalore,4.9,"Mangalorean, South Indian, Salad, Desserts",600.0,https://www.zomato.com/bangalore/oota-bangalore-whitefield/info,13.9 km,-
Topic Craft Bar & Kitchen,New,"Bar Food, North Indian, Asian, Pizza, Italian, Salad, Desserts",500.0,https://www.zomato.com/bangalore/topic-craft-bar-kitchen-kengeri-bangalore/info,14 km,-
Bangalore Adda,4.0,"Salad, Seafood, Kebab, Pizza, Chinese, North Indian, Biryani, Desserts",600.0,https://www.zomato.com/bangalore/bangalore-adda-1-new-bel-road-bangalore/info,7.5 km,10% OFF
Chutney Chang,3.9,"Chinese, North Indian, Momos",900.0,https://www.zomato.com/bangalore/chutney-chang-church-street/info,961 m,10% OFF
Kenzai,4.2,"Asian, Japanese, Chinese, Salad, Desserts, Beverages",850.0,https://www.zomato.com/bangalore/kenzai-brigade-road-bangalore/info,1.7 km,10% OFF
Marbella Sky Lounge,3.5,"Continental, North Indian, Asian, Beverages",1250.0,https://www.zomato.com/bangalore/marbella-sky-lounge-jayanagar-bangalore/info,7.9 km,10% OFF
