Restaurant,Ratings,Cusine,Price_For_1,Links,Distance,Offers
Cafe Grey By Dongle & Co,4.4,"Cafe, Coffee, Beverages, Continental, Pizza, Italian, Salad, Desserts",600.0,https://www.zomato.com/bangalore/cafe-grey-by-dongle-co-indiranagar-bangalore/info,5.4 km,10% OFF
Street 1522,4.3,"North Indian, Asian, Seafood, Continental, Mughlai, Kebab, Street Food, Beverages",1100.0,https://www.zomato.com/bangalore/street-1522-sarjapur-road-bangalore/info,14.1 km,-
Tipsy Bull- The Bar Exchange,4.2,"Chinese, Continental, North Indian, Fast Food, Desserts",700.0,https://www.zomato.com/bangalore/tipsy-bull-the-bar-exchange-koramangala-5th-block-bangalore/info,4.8 km,-
Maize & Malt,New,"Continental, Asian, South Indian, North Indian, Salad, Momos, Desserts",600.0,https://www.zomato.com/bangalore/maize-malt-whitefield-bangalore/info,11.9 km,-
Smoke House Deli,4.5,"Continental, Italian, BBQ, Fast Food, Ice Cream, Salad, Desserts, Beverages",900.0,https://www.zomato.com/SmokeHouseDeli-Indiranagar/info,5.1 km,-
Bastian,3.5,"Continental, Greek",1000.0,https://www.zomato.com/bangalore/bastian-st-marks-road-bangalore/info,670 m,-
Idylll - Indian Plates & Cocktails,New,"North Indian, Modern Indian, Kebab, Desserts",1300.0,https://www.zomato.com/bangalore/idylll-indian-plates-cocktails-indiranagar-bangalore/info,5.5 km,-
The Pump House,4.4,"Continental, Chinese, North Indian, Italian, Asian, Salad, Pizza, Desserts",800.0,https://www.zomato.com/bangalore/the-pump-house-1-jp-nagar-bangalore/info,7.4 km,-
Roastea,4.2,"Coffee, Italian, Pizza, Pasta, Bakery, Cafe",700.0,https://www.zomato.com/bangalore/roastea-koramangala-4th-block-bangalore/info,5.4 km,10% OFF
Sky Garden,4.1,"Continental, North Indian, Pizza, Asian, Pasta, Chinese, Desserts, Beverages",1000.0,https://www.zomato.com/bangalore/sky-garden-whitefield-bangalore/info,12.1 km,20% OFF
Geometry Brewery & Kitchen,4.3,"Chinese, North Indian, Italian, Continental, Pizza, Desserts, Beverages",900.0,https://www.zomato.com/bangalore/geometry-brewery-kitchen-rajajinagar-bangalore/info,5.7 km,10% OFF
Peepai,4.5,"North Indian, Pizza, Chinese, European, Bar Food, Biryani, Desserts, Beverages",1250.0,https://www.zomato.com/bangalore/peepai-3-hebbal-bangalore/info,9.3 km,-
Bunny Bar,4.3,Bar Food,500.0,https://www.zomato.com/bangalore/bunny-bar-koramangala-4th-block-bangalore/info,5.8 km,-
